132,H+,NS,NAN,NS+,H,NAN,NAN,4.70E-09,-0.50,0.0,10,41000
133,H+,O2,NAN,O2+,H,NAN,NAN,2.00E-09,0.00,0.0,10,300
134,H+,O,NAN,O+,H,NAN,NAN,6.86E-10,0.26,224.3,10,41000
135,H+,OCS,NAN,OCS+,H,NAN,NAN,2.10E-09,0.00,0.0,10,300
136,H+,OH,NAN,OH+,H,NAN,NAN,2.10E-09,-0.50,0.0,10,41000
137,H+,S2,NAN,S2+,H,NAN,NAN,3.00E-09,0.00,0.0,10,300
138,H+,S,NAN,S+,H,NAN,NAN,1.30E-09,0.00,0.0,10,41000
139,H+,SO2,NAN,SO2+,H,NAN,NAN,5.78E-09,-0.50,0.0,10,300
140,H+,SO,NAN,SO+,H,NAN,NAN,3.20E-09,-0.50,0.0,10,41000
141,H+,SI,NAN,SI+,H,NAN,NAN,9.90E-10,0.00,0.0,10,41000
142,H+,SIC2,NAN,SIC2+,H,NAN,NAN,3.00E-09,-0.50,0.0,10,300
143,H+,SIC3,NAN,SIC3+,H,NAN,NAN,3.00E-09,-0.50,0.0,10,300
144,H+,SIC,NAN,SIC+,H,NAN,NAN,3.00E-09,-0.50,0.0,10,300
145,H+,SIH2,NAN,SIH2+,H,NAN,NAN,1.50E-09,0.00,0.0,10,300
146,H+,SIH3,NAN,SIH3+,H,NAN,NAN,1.50E-09,0.00,0.0,10,300
147,H+,SIH4,NAN,SIH4+,H,NAN,NAN,1.50E-09,0.00,0.0,10,300
148,H+,SIH,NAN,SIH+,H,NAN,NAN,1.70E-09,0.00,0.0,10,300
149,H+,SIO,NAN,SIO+,H,NAN,NAN,3.30E-09,-0.50,0.0,10,41000
150,H+,SIS,NAN,SIS+,H,NAN,NAN,1.50E-09,-0.50,0.0,10,41000
151,H2+,C2,NAN,C2+,H2,NAN,NAN,1.10E-09,0.00,0.0,10,41000
152,H2+,C2H2,NAN,C2H2+,H2,NAN,NAN,4.82E-09,0.00,0.0,10,41000
153,H2+,C2H,NAN,C2H+,H2,NAN,NAN,1.00E-09,0.00,0.0,10,41000
154,H2+,CH2,NAN,CH2+,H2,NAN,NAN,1.00E-09,0.00,0.0,10,41000
155,H2+,CH4,NAN,CH4+,H2,NAN,NAN,1.40E-09,0.00,0.0,10,41000
156,H2+,CH,NAN,CH+,H2,NAN,NAN,7.10E-10,-0.50,0.0,10,41000
157,H2+,CN,NAN,CN+,H2,NAN,NAN,1.20E-09,-0.50,0.0,10,41000
158,H2+,CO,NAN,CO+,H2,NAN,NAN,6.44E-10,0.00,0.0,10,41000
159,H2+,H2CO,NAN,H2CO+,H2,NAN,NAN,1.40E-09,-0.50,0.0,10,41000
160,H2+,H2O,NAN,H2O+,H2,NAN,NAN,3.90E-09,-0.50,0.0,10,41000
161,H2+,H2S,NAN,H2S+,H2,NAN,NAN,2.70E-09,-0.50,0.0,10,41000
