 233 n+       ch2               ch2+     n                  1.00e-09    0.00       0.0
 234 n+       ch4               ch4+     n                  2.80e-11    0.00       0.0
 235 n+       cn                cn+      n                  1.10e-09   -0.50       0.0
 236 n+       co                co+      n                  8.25e-10    0.00       0.0
 237 n+       h2co              h2co+    n                  1.88e-09   -0.50       0.0
 238 n+       h2o               h2o+     n                  2.80e-09   -0.50       0.0
 239 n+       h2s               h2s+     n                  1.06e-09   -0.50       0.0
 240 n+       hcn               hcn+     n                  3.70e-09   -0.50       0.0
 241 n+       hco               hco+     n                  4.50e-10   -0.50       0.0
 242 n+       mg                mg+      n                  1.20e-09    0.00       0.0
 243 n+       nh2               nh2+     n                  1.00e-09   -0.50       0.0
 244 n+       nh3               nh3+     n                  1.97e-09   -0.50       0.0
 245 n+       nh                nh+      n                  3.70e-10   -0.50       0.0
 246 n+       no                no+      n                  4.51e-10    0.00       0.0
 247 n+       o2                o2+      n                  3.11e-10    0.00       0.0
 248 n+       ocs               ocs+     n                  1.02e-09    0.00       0.0
 249 n+       oh                oh+      n                  3.70e-10   -0.50       0.0
 250 n2+      h2co              h2co+    n2                 3.77e-10   -0.50       0.0
 251 n2+      h2s               h2s+     n2                 1.50e-10   -0.50       0.0
 252 n2+      hco               hco+     n2                 3.70e-10   -0.50       0.0
 253 n2+      no                no+      n2                 4.40e-10    0.00       0.0
 254 n2+      o2                o2+      n2                 5.00e-11    0.00       0.0
 255 n2+      ocs               ocs+     n2                 2.60e-10    0.00       0.0
 256 n2+      s                 s+       n2                 1.10e-09    0.00       0.0
 257 n        n2+               n2       n+                 1.00e-11    0.00       0.0
 258 nh+      h2co              h2co+    nh                 9.90e-10   -0.50       0.0
 259 nh+      h2o               h2o+     nh                 1.05e-09   -0.50       0.0
 260 nh+      nh3               nh3+     nh                 1.80e-09   -0.50       0.0
 261 nh+      no                no+      nh                 7.12e-10    0.00       0.0
 262 nh+      o2                o2+      nh                 4.51e-10    0.00       0.0
 263 nh+      s                 s+       nh                 6.90e-10    0.00       0.0
 264 nh2+     h2s               h2s+     nh2                7.20e-10   -0.50       0.0
 265 nh2+     hco               hco+     nh2                4.30e-10   -0.50       0.0
 266 nh2+     nh3               nh3+     nh2                6.90e-10   -0.50       0.0
 267 nh2+     no                no+      nh2                7.00e-10    0.00       0.0
 268 nh2+     s                 s+       nh2                4.40e-10    0.00       0.0
 269 nh2      c2+               c2       nh2+               4.60e-10   -0.50       0.0
 270 nh2      cn+               cn       nh2+               9.10e-10   -0.50       0.0
 271 nh2      co+               co       nh2+               4.50e-10   -0.50       0.0
 272 nh2      h2o+              h2o      nh2+               4.90e-10   -0.50       0.0
 273 nh2      n2+               n2       nh2+               8.90e-10   -0.50       0.0
 274 nh2      o2+               o2       nh2+               8.70e-10   -0.50       0.0
 275 nh2      oh+               oh       nh2+               5.00e-10   -0.50       0.0
 276 nh3+     hco               hco+     nh3                4.20e-10   -0.50       0.0
 277 nh3+     mg                mg+      nh3                3.30e-09    0.00       0.0
 278 nh3+     no                no+      nh3                7.20e-10    0.00       0.0
 279 nh3+     si                si+      nh3                1.90e-09    0.00       0.0
 280 nh3      c2h2+             c2h2     nh3+               2.14e-09   -0.50       0.0
 281 nh3      co+               co       nh3+               2.02e-09   -0.50       0.0
 282 nh3      h2co+             h2co     nh3+               4.25e-10   -0.50       0.0
 283 nh3      h2o+              h2o      nh3+               2.21e-09   -0.50       0.0
 284 nh3      h2s+              h2s      nh3+               3.40e-10   -0.50       0.0
 285 nh3      hcn+              hcn      nh3+               1.68e-09   -0.50       0.0
 286 nh3      hs+               hs       nh3+               5.25e-10   -0.50       0.0
 287 nh3      n2+               n2       nh3+               1.90e-09   -0.50       0.0
 288 nh3      o2+               o2       nh3+               2.00e-09   -0.50       0.0
 289 nh3      ocs+              nh3+     ocs                2.30e-09   -0.50       0.0
 290 nh3      s+                s        nh3+               1.44e-09   -0.50       0.0
 291 nh3      so+               so       nh3+               1.30e-09   -0.50       0.0
 292 nh       cn+               cn       nh+                6.50e-10   -0.50       0.0
 293 nh       co+               co       nh+                3.20e-10   -0.50       0.0
 294 nh       n2+               n2       nh+                6.50e-10   -0.50       0.0
 295 nh       o+                o        nh+                3.60e-10   -0.50       0.0
 296 no       h2co+             h2co     no+                7.80e-10    0.00       0.0
 297 no       h2s+              h2s      no+                3.70e-10    0.00       0.0
 298 no       hno+              hno      no+                7.00e-10    0.00       0.0
 299 no       hs+               hs       no+                4.50e-10    0.00       0.0
 300 no       o2+               o2       no+                4.60e-10    0.00       0.0
 301 no       s+                s        no+                3.70e-10    0.00       0.0
 302 no       s2+               s2       no+                5.10e-10    0.00       0.0
 303 no       sio+              sio      no+                7.20e-10    0.00       0.0
 304 o+       c2                c2+      o                  4.80e-10    0.00       0.0
 305 o+       c2h2              c2h2+    o                  3.90e-11    0.00       0.0
 306 o+       c2h               c2h+     o                  4.60e-10    0.00       0.0
 307 o+       ch4               ch4+     o                  8.90e-10    0.00       0.0
 308 o+       co                co+      o                  4.90e-12    0.50    4580.0
 309 o+       h2co              h2co+    o                  2.10e-09   -0.50       0.0
 310 o+       h2o               h2o+     o                  3.20e-09   -0.50       0.0
 311 o+       h2s               h2s+     o                  1.36e-09   -0.50       0.0
 312 o+       hco               hco+     o                  4.30e-10   -0.50       0.0
 313 o+       nh2               nh2+     o                  1.00e-09   -0.50       0.0
 314 o+       nh3               nh3+     o                  1.20e-09   -0.50       0.0
 315 o+       o2                o2+      o                  1.90e-11    0.00       0.0
 316 o+       ocs               ocs+     o                  6.50e-10    0.00       0.0
 317 o+       oh                oh+      o                  3.60e-10   -0.50       0.0
 318 o+       so2               so2+     o                  2.04e-09   -0.50       0.0
 319 o2+      c2h2              c2h2+    o2                 1.11e-09    0.00       0.0
 320 o2+      h2s               h2s+     o2                 1.40e-09   -0.50       0.0
 321 o2+      s                 s+       o2                 5.40e-10    0.00       0.0
 322 o2       cl+               cl       o2+                4.60e-10    0.00       0.0
 323 o2       so2+              so2      o2+                2.50e-10    0.00       0.0
 324 o        cn+               cn       o+                 6.50e-11    0.00       0.0
 325 o        co+               co       o+                 1.40e-10    0.00       0.0
 326 o        n2+               n2       o+                 1.00e-11    0.00       0.0
 327 oh+      c2                c2+      oh                 4.80e-10    0.00       0.0
 328 oh+      c2h               c2h+     oh                 4.50e-10    0.00       0.0
 329 oh+      h2co              h2co+    oh                 7.44e-10   -0.50       0.0
 330 oh+      h2o               h2o+     oh                 1.59e-09   -0.50       0.0
 331 oh+      h2s               h2s+     oh                 1.23e-09   -0.50       0.0
 332 oh+      hco               hco+     oh                 2.80e-10   -0.50       0.0
 333 oh+      nh3               nh3+     oh                 1.20e-09   -0.50       0.0
 334 oh+      no                no+      oh                 3.59e-10    0.00       0.0
 335 oh+      o2                o2+      oh                 5.90e-10    0.00       0.0
 336 oh+      s                 s+       oh                 4.30e-10    0.00       0.0
 337 oh       c2+               c2       oh+                6.50e-10   -0.50       0.0
 338 oh       cn+               cn       oh+                6.40e-10   -0.50       0.0
 339 oh       co+               co       oh+                3.10e-10   -0.50       0.0
 340 oh       n2+               n2       oh+                6.30e-10   -0.50       0.0
 341 s+       sic               sic+     s                  3.70e-09   -0.50       0.0
 342 s+       sis               sis+     s                  3.20e-09   -0.50       0.0
 343 s        c+                c        s+                 5.00e-11    0.00       0.0
 344 s        c+                c        s+                 5.54e-12    0.86     680.7
 345 s        h2s+              h2s      s+                 1.10e-09    0.00       0.0
 346 s        hs+               hs       s+                 9.70e-10    0.00       0.0
 347 si       cs+               cs       si+                1.50e-10    0.00       0.0
 348 si       h2co+             h2co     si+                2.00e-09    0.00       0.0
 349 si       h2s+              h2s      si+                1.60e-09    0.00       0.0
 350 si       hs+               hs       si+                1.40e-09    0.00       0.0
 351 si       no+               no       si+                1.60e-09    0.00       0.0
 352 si       o2+               o2       si+                1.60e-09    0.00       0.0
 353 si       s+                s        si+                1.60e-09    0.00       0.0
 354 sih      s+                s        sih+               4.20e-10    0.00       0.0
 355 c        crp               c+       e-                 2.30e-17    0.00       0.0
 356 co       crp               co+      e-                 3.90e-17    0.00       0.0
 357 cl       crp               cl+      e-                 3.90e-17    0.00       0.0
 358 h2       crp               h+       h        e-        2.86e-19    0.00       0.0
 359 h2       crp               h2+      e-                 1.20e-17    0.00       0.0
 360 h2       crp               h        h                  1.30e-18    0.00       0.0
 361 h        crp               h+       e-                 5.98e-18    0.00       0.0
 362 he       crp               he+      e-                 6.50e-18    0.00       0.0
 363 n        crp               n+       e-                 2.70e-17    0.00       0.0
 364 o        crp               o+       e-                 3.40e-17    0.00       0.0
 365 c2       crphot            c        c                  1.30e-17    0.00     119.5
 366 c2h2     crphot            c2h2+    e-                 1.30e-17    0.00     654.5
 367 c2h2     crphot            c2h      h                  1.30e-17    0.00    2577.5
 368 c2h3     crphot            c2h2     h                  1.30e-17    0.00    1500.0
 369 c2h4     crphot            c2h2     h2                 1.30e-17    0.00    1881.0
 370 c2h5     crphot            c2h3     h2                 1.30e-17    0.00    1881.0
 371 c2h5oh   crphot            c2h5     oh                 1.30e-17    0.00    2153.5
 372 c2h      crphot            c2       h                  1.30e-17    0.00    2500.0
 373 c2h      crphot            c2h+     e-                 1.30e-17    0.00    2500.0
 374 c2n      crphot            c2       n                  1.30e-17    0.00     500.0
 375 c2n      crphot            cn       c                  1.30e-17    0.00     500.0
 376 c3n      crphot            cn       c2                 1.30e-17    0.00     875.0
 377 c        crphot            c+       e-                 1.30e-17    0.00     255.0
 378 ch+      crphot            c+       h                  1.30e-17    0.00      88.0
 379 ch2      crphot            ch2+     e-                 1.30e-17    0.00     250.0
 380 ch2      crphot            ch       h                  1.30e-17    0.00     250.0
 381 ch2co    crphot            co       ch2                1.30e-17    0.00     456.5
 382 ch3      crphot            ch2      h                  1.30e-17    0.00     250.0
 383 ch3      crphot            ch3+     e-                 1.30e-17    0.00     250.0
 384 ch3      crphot            ch       h2                 1.30e-17    0.00     250.0
 385 ch3cn    crphot            cn       ch3                1.30e-17    0.00    2388.0
 386 ch3oh    crphot            h2co     h2                 1.30e-17    0.00    1584.0
 387 ch3oh    crphot            oh       ch3                1.30e-17    0.00     752.0
 388 ch4      crphot            ch2      h2                 1.30e-17    0.00    1169.5
 389 ch       crphot            c        h                  1.30e-17    0.00     365.0
 390 cn       crphot            n        c                  1.30e-17    0.00    5290.0
 391 co2      crphot            co       o                  1.30e-17    0.00     854.0
 392 co       crphot            o        c                  1.30e-17    1.17     105.0
 393 cs       crphot            cs+      e-                 1.30e-17    0.00     250.0
 394 cs       crphot            s        c                  1.30e-17    0.00     250.0
 395 cl       crphot            cl+      e-                 1.30e-17    0.00      61.0
 396 h2cn     crphot            hcn      h                  1.30e-17    0.00     750.0
 397 h2co     crphot            co       h2                 1.30e-17    0.00    1329.5
 398 h2cs     crphot            cs       h2                 1.30e-17    0.00     750.0
 399 h2o      crphot            oh       h                  1.30e-17    0.00     485.5
 400 h2s      crphot            h2s+     e-                 1.30e-17    0.00     848.0
 401 h2s      crphot            s        h2                 1.30e-17    0.00    2577.0
 402 h2sio    crphot            sio      h2                 1.30e-17    0.00     750.0
 403 h        crphot            h+       e-                 1.30e-17    0.00       0.2
 404 hc3n     crphot            cn       c2h                1.30e-17    0.00     863.5
 405 hcn      crphot            cn       h                  1.30e-17    0.00    1557.0
 406 hco      crphot            co       h                  1.30e-17    0.00     210.5
 407 hco      crphot            hco+     e-                 1.30e-17    0.00     584.5
 408 hcooch3  crphot            co2      ch4                1.30e-17    0.00    1000.0
 409 hcs      crphot            hcs+     e-                 1.30e-17    0.00     750.0
 410 hcl      crphot            cl       h                  1.30e-17    0.00    1370.0
 411 hnc      crphot            cn       h                  1.30e-17    0.00    1500.0
