!molecule
CH3CN
!molecular weight
41
!number of energy levels
251
!level + energies(cm^-1) + weight + J_K
117	129	121	6.299443E-03	422.890619	307.90
118	128	125	3.158711E-04	183.835024	305.61
119	127	118	4.100311E-03	367.720593	299.63
120	126	119	1.921588E-03	294.160471	298.58
121	125	122	2.121009E-04	165.454126	296.78
122	124	114	8.134905E-03	459.698127	294.02
123	123	115	7.178510E-03	441.302566	293.38
124	122	117	9.989854E-05	147.072405	288.84
125	121	112	5.496892E-03	404.519149	287.60
126	120	110	8.474350E-03	459.706998	286.88
127	119	113	1.565219E-03	275.782524	284.46
128	118	111	3.501611E-03	349.345849	281.98
129	117	116	2.528342E-05	128.689954	281.79
130	115	108	6.301267E-03	422.931423	272.20
131	114	107	7.179757E-03	441.328113	271.96
132	113	109	1.255794E-03	257.403206	271.22
133	112	106	4.765498E-03	386.145668	268.19
134	111	105	2.964175E-03	330.969369	265.22
135	110	103	7.492354E-03	441.336629	264.82
136	109	104	9.900088E-04	239.022608	258.87
137	108	100	5.498484E-03	404.558179	251.90
138	107	98	6.302362E-03	422.955906	250.78
139	106	99	4.101973E-03	367.770268	249.66
140	105	101	2.484709E-03	312.591244	249.33
141	104	102	6.881028E-04	220.640823	247.40
142	103	96	6.589214E-03	422.964067	243.64
143	102	97	5.121204E-04	202.257941	236.81
144	101	95	2.059917E-03	294.211565	234.33
145	100	92	4.766877E-03	386.182924	232.49
146	99	93	3.503030E-03	349.393040	232.01
147	98	91	5.499439E-03	404.581597	230.48
148	97	94	3.687511E-04	183.874054	227.10
149	96	88	5.761650E-03	404.589403	223.34
150	95	89	1.566035E-03	275.830425	220.21
151	94	90	2.546832E-04	165.489253	218.28
152	93	86	2.965376E-03	331.014076	215.24
153	92	84	4.103160E-03	367.805750	213.95
154	91	82	4.767705E-03	386.205278	211.06
155	90	87	1.332829E-04	147.103630	210.34
156	89	83	1.256448E-03	257.447913	206.97
157	88	80	5.006380E-03	386.212729	203.92
158	87	85	7.589859E-05	128.717275	203.28
159	86	79	2.485716E-03	312.633468	199.35
160	85	81	1.838375E-05	110.330281	197.10
161	84	77	3.504044E-03	349.426748	196.30
162	83	78	9.905248E-04	239.064123	194.62
163	82	76	4.103873E-03	367.827039	192.53
164	80	73	4.320116E-03	367.834135	185.39
165	79	74	2.060752E-03	294.251305	184.35
166	78	75	7.649571E-04	220.679144	183.15
167	77	72	2.966234E-03	331.046010	179.53
168	76	70	3.504652E-03	349.446973	174.88
169	75	71	5.764357E-04	202.293068	172.56
170	74	69	1.687182E-03	275.867681	170.23
171	73	67	3.699569E-03	349.453715	167.73
172	72	66	2.486436E-03	312.663627	163.65
173	71	68	4.216494E-04	183.905988	162.85
174	70	63	2.966750E-03	331.065170	158.11
175	69	64	1.361704E-03	257.482686	156.99
176	68	65	2.972852E-04	165.517994	154.02
177	67	61	3.141446E-03	331.071557	150.96
178	66	60	2.061348E-03	294.279691	148.64
179	65	62	2.000285E-04	147.129177	146.08
180	64	59	1.081010E-03	239.096411	144.63
181	63	56	2.486867E-03	312.681723	142.22
182	62	58	1.012509E-04	128.739629	139.02
183	61	52	2.642450E-03	312.687755	135.07
184	60	53	1.687671E-03	275.894292	134.52
185	59	54	8.417938E-04	220.708949	133.16
186	58	57	5.517998E-05	110.349441	132.84
187	57	55	1.257995E-05	91.958705	127.54
188	56	51	2.061706E-03	294.296722	127.21
189	54	50	6.407437E-04	202.320390	122.56
190	53	49	1.362098E-03	257.507523	121.28
191	52	48	2.199281E-03	294.302399	120.07
