   57  12   2  1.23E-13  1.41E-13  1.87E-13  2.51E-13  3.32E-13  4.26E-13  5.29E-13  6.40E-13  7.54E-13  8.70E-13  9.86E-13  1.22E-12  1.44E-12  1.65E-12  1.86E-12  2.06E-12  2.25E-12  2.44E-12  2.62E-12  2.79E-12  2.96E-12  3.37E-12  3.76E-12  4.11E-12  4.44E-12
   58  12   3  1.26E-13  1.45E-13  1.92E-13  2.57E-13  3.40E-13  4.38E-13  5.49E-13  6.71E-13  8.01E-13  9.38E-13  1.08E-12  1.36E-12  1.65E-12  1.92E-12  2.19E-12  2.44E-12  2.67E-12  2.89E-12  3.10E-12  3.29E-12  3.47E-12  3.88E-12  4.22E-12  4.52E-12  4.77E-12
   59  12   4  1.08E-12  1.19E-12  1.42E-12  1.70E-12  2.02E-12  2.35E-12  2.69E-12  3.02E-12  3.35E-12  3.67E-12  3.99E-12  4.60E-12  5.18E-12  5.73E-12  6.26E-12  6.77E-12  7.26E-12  7.73E-12  8.18E-12  8.61E-12  9.03E-12  1.00E-11  1.09E-11  1.17E-11  1.25E-11
   60  12   5  6.27E-13  6.96E-13  8.36E-13  1.01E-12  1.22E-12  1.44E-12  1.67E-12  1.92E-12  2.16E-12  2.41E-12  2.66E-12  3.15E-12  3.63E-12  4.08E-12  4.51E-12  4.92E-12  5.30E-12  5.65E-12  5.99E-12  6.30E-12  6.59E-12  7.24E-12  7.80E-12  8.29E-12  8.71E-12
   61  12   6  5.86E-12  6.31E-12  7.04E-12  7.85E-12  8.66E-12  9.44E-12  1.02E-11  1.09E-11  1.15E-11  1.21E-11  1.27E-11  1.39E-11  1.49E-11  1.59E-11  1.68E-11  1.76E-11  1.85E-11  1.92E-11  2.00E-11  2.07E-11  2.13E-11  2.29E-11  2.42E-11  2.55E-11  2.66E-11
   62  12   7  1.97E-12  2.12E-12  2.39E-12  2.70E-12  3.04E-12  3.39E-12  3.74E-12  4.08E-12  4.43E-12  4.77E-12  5.10E-12  5.73E-12  6.33E-12  6.88E-12  7.41E-12  7.90E-12  8.36E-12  8.79E-12  9.20E-12  9.58E-12  9.94E-12  1.08E-11  1.15E-11  1.21E-11  1.27E-11
   63  12   8  2.41E-11  2.58E-11  2.75E-11  2.92E-11  3.07E-11  3.20E-11  3.32E-11  3.42E-11  3.52E-11  3.61E-11  3.69E-11  3.84E-11  3.98E-11  4.11E-11  4.22E-11  4.33E-11  4.43E-11  4.52E-11  4.61E-11  4.70E-11  4.78E-11  4.97E-11  5.15E-11  5.31E-11  5.45E-11
   64  12   9  4.48E-12  4.69E-12  4.97E-12  5.34E-12  5.73E-12  6.13E-12  6.54E-12  6.94E-12  7.33E-12  7.72E-12  8.09E-12  8.80E-12  9.46E-12  1.01E-11  1.07E-11  1.12E-11  1.17E-11  1.22E-11  1.26E-11  1.31E-11  1.35E-11  1.44E-11  1.53E-11  1.60E-11  1.67E-11
   65  12  10  8.01E-11  8.69E-11  9.10E-11  9.35E-11  9.55E-11  9.70E-11  9.82E-11  9.93E-11  1.00E-10  1.01E-10  1.02E-10  1.03E-10  1.05E-10  1.06E-10  1.07E-10  1.08E-10  1.10E-10  1.11E-10  1.12E-10  1.13E-10  1.14E-10  1.17E-10  1.20E-10  1.22E-10  1.25E-10
   66  12  11  5.19E-12  5.50E-12  6.08E-12  6.73E-12  7.36E-12  7.99E-12  8.59E-12  9.18E-12  9.75E-12  1.03E-11  1.08E-11  1.18E-11  1.27E-11  1.35E-11  1.42E-11  1.49E-11  1.56E-11  1.62E-11  1.68E-11  1.73E-11  1.78E-11  1.90E-11  2.00E-11  2.10E-11  2.18E-11
   67  13   1  1.38E-14  1.62E-14  2.28E-14  3.30E-14  4.69E-14  6.43E-14  8.48E-14  1.08E-13  1.32E-13  1.58E-13  1.85E-13  2.39E-13  2.93E-13  3.46E-13  3.96E-13  4.46E-13  4.93E-13  5.40E-13  5.85E-13  6.30E-13  6.73E-13  7.79E-13  8.79E-13  9.74E-13  1.06E-12
   68  13   2  2.86E-14  3.35E-14  4.72E-14  6.88E-14  9.88E-14  1.37E-13  1.84E-13  2.37E-13  2.96E-13  3.60E-13  4.28E-13  5.70E-13  7.17E-13  8.63E-13  1.00E-12  1.14E-12  1.27E-12  1.39E-12  1.51E-12  1.62E-12  1.72E-12  1.96E-12  2.16E-12  2.33E-12  2.48E-12
