      2     3     1   8.34e-07  5.90e-07  4.82e-07  3.76e-07  2.67e-07  2.17e-07  1.87e-07  1.53e-07  1.20e-07  8.70e-08  6.36e-08  5.35e-08
      3     3     2   4.62e-06  3.26e-06  2.67e-06  2.07e-06  1.47e-06  1.20e-06  1.04e-06  8.61e-07  6.85e-07  5.10e-07  3.80e-07  3.23e-07
      4     4     1   2.74e-07  1.94e-07  1.58e-07  1.23e-07  8.70e-08  7.09e-08  6.12e-08  4.95e-08  3.75e-08  2.53e-08  1.73e-08  1.42e-08
      5     4     2   1.39e-06  9.86e-07  8.13e-07  6.45e-07  4.52e-07  3.64e-07  3.13e-07  2.55e-07  2.00e-07  1.45e-07  1.07e-07  9.12e-08
      6     4     3   4.66e-06  3.30e-06  2.69e-06  2.10e-06  1.49e-06  1.22e-06  1.06e-06  8.70e-07  6.92e-07  5.13e-07  3.80e-07  3.21e-07
      7     5     1   1.88e-07  1.33e-07  1.09e-07  8.55e-08  6.05e-08  4.89e-08  4.21e-08  3.40e-08  2.62e-08  1.92e-08  1.49e-08  1.31e-08
      8     5     2   3.66e-07  2.59e-07  2.11e-07  1.65e-07  1.17e-07  9.48e-08  8.15e-08  6.57e-08  4.97e-08  3.35e-08  2.30e-08  1.90e-08
      9     5     3   1.43e-06  1.01e-06  8.28e-07  6.42e-07  4.56e-07  3.72e-07  3.22e-07  2.64e-07  2.07e-07  1.50e-07  1.11e-07  9.38e-08
     10     5     4   4.72e-06  3.34e-06  2.73e-06  2.14e-06  1.52e-06  1.24e-06  1.07e-06  8.81e-07  7.00e-07  5.16e-07  3.80e-07  3.20e-07
     11     6     1   2.35e-10  1.66e-10  1.36e-10  1.06e-10  7.52e-11  6.09e-11  5.44e-11  5.45e-11  6.60e-11  7.28e-11  8.82e-11  1.34e-10
     12     6     2   2.57e-07  1.81e-07  1.48e-07  1.15e-07  8.19e-08  6.65e-08  5.72e-08  4.62e-08  3.56e-08  2.64e-08  2.06e-08  1.81e-08
     13     6     3   4.03e-07  2.85e-07  2.33e-07  1.80e-07  1.28e-07  1.04e-07  8.99e-08  7.28e-08  5.52e-08  3.73e-08  2.59e-08  2.14e-08
     14     6     4   1.50e-06  1.06e-06  8.66e-07  6.76e-07  4.81e-07  3.90e-07  3.37e-07  2.76e-07  2.17e-07  1.58e-07  1.16e-07  9.83e-08
     15     6     5   4.74e-06  3.36e-06  2.77e-06  2.20e-06  1.54e-06  1.25e-06  1.08e-06  8.87e-07  7.04e-07  5.17e-07  3.78e-07  3.17e-07
     16     7     1   1.30e-11  9.16e-12  7.50e-12  5.87e-12  4.18e-12  3.55e-12  3.39e-12  3.54e-12  3.69e-12  3.20e-12  5.07e-12  1.01e-11
     17     7     2   2.91e-10  2.06e-10  1.68e-10  1.31e-10  9.26e-11  7.76e-11  7.57e-11  8.89e-11  1.14e-10  1.17e-10  1.33e-10  1.98e-10
     18     7     3   2.93e-07  2.07e-07  1.69e-07  1.31e-07  9.31e-08  7.57e-08  6.50e-08  5.24e-08  4.06e-08  3.05e-08  2.39e-08  2.10e-08
     19     7     4   4.34e-07  3.07e-07  2.51e-07  1.96e-07  1.39e-07  1.13e-07  9.67e-08  7.80e-08  5.89e-08  3.98e-08  2.77e-08  2.30e-08
