! TRANSITION-NUMBER UPPER-STATE LOWER-STATE RATE (CM^3S^-1)
  79   14    1 6.07e-13 5.77e-13 5.76e-13 5.98e-13 6.25e-13 6.52e-13 7.09e-13 7.47e-13 7.76e-13 8.01e-13 
  80   14    2 2.01e-12 1.90e-12 1.86e-12 1.90e-12 1.96e-12 2.02e-12 2.15e-12 2.23e-12 2.28e-12 2.31e-12 
  81   14    3 4.08e-12 3.81e-12 3.64e-12 3.62e-12 3.65e-12 3.70e-12 3.86e-12 4.00e-12 4.13e-12 4.26e-12 
  82   14    4 7.08e-12 6.56e-12 6.10e-12 5.91e-12 5.83e-12 5.79e-12 5.78e-12 5.80e-12 5.82e-12 5.85e-12 
  83   14    5 1.16e-11 1.05e-11 9.52e-12 8.97e-12 8.66e-12 8.48e-12 8.38e-12 8.52e-12 8.74e-12 9.00e-12 
  84   14    6 1.70e-11 1.55e-11 1.38e-11 1.27e-11 1.20e-11 1.15e-11 1.08e-11 1.04e-11 1.04e-11 1.04e-11 
  85   14    7 2.47e-11 2.27e-11 2.00e-11 1.85e-11 1.75e-11 1.69e-11 1.63e-11 1.64e-11 1.67e-11 1.71e-11 
  86   14    8 2.94e-11 2.80e-11 2.51e-11 2.29e-11 2.14e-11 2.03e-11 1.85e-11 1.79e-11 1.78e-11 1.80e-11 
  87   14    9 4.45e-11 4.30e-11 4.02e-11 3.81e-11 3.68e-11 3.59e-11 3.46e-11 3.43e-11 3.42e-11 3.43e-11 
  88   14   10 4.33e-11 4.52e-11 4.41e-11 4.21e-11 4.04e-11 3.91e-11 3.72e-11 3.66e-11 3.67e-11 3.70e-11 
  89   14   11 8.53e-11 8.38e-11 8.26e-11 8.12e-11 7.98e-11 7.85e-11 7.56e-11 7.36e-11 7.20e-11 7.08e-11 
  90   14   12 1.07e-10 1.07e-10 1.04e-10 1.01e-10 9.96e-11 9.85e-11 9.75e-11 9.76e-11 9.81e-11 9.88e-11 
  91   14   13 1.40e-10 1.40e-10 1.42e-10 1.46e-10 1.51e-10 1.55e-10 1.63e-10 1.69e-10 1.73e-10 1.75e-10 
  92   15    1 4.09e-13 3.87e-13 3.92e-13 4.15e-13 4.43e-13 4.71e-13 5.35e-13 5.76e-13 6.05e-13 6.25e-13 
  93   15    2 1.38e-12 1.29e-12 1.29e-12 1.35e-12 1.43e-12 1.50e-12 1.68e-12 1.81e-12 1.91e-12 1.99e-12 
  94   15    3 2.83e-12 2.62e-12 2.53e-12 2.57e-12 2.65e-12 2.73e-12 2.95e-12 3.09e-12 3.19e-12 3.27e-12 
  95   15    4 5.24e-12 4.75e-12 4.43e-12 4.35e-12 4.36e-12 4.40e-12 4.59e-12 4.77e-12 4.96e-12 5.14e-12 
  96   15    5 8.70e-12 7.79e-12 7.07e-12 6.75e-12 6.59e-12 6.51e-12 6.44e-12 6.45e-12 6.49e-12 6.56e-12 
  97   15    6 1.38e-11 1.22e-11 1.08e-11 1.00e-11 9.58e-12 9.32e-12 9.11e-12 9.22e-12 9.46e-12 9.75e-12 
  98   15    7 1.95e-11 1.73e-11 1.50e-11 1.37e-11 1.28e-11 1.22e-11 1.13e-11 1.10e-11 1.08e-11 1.09e-11 
