NAME,MASS,BINDING ENERGY,DESORPTION PREFACTOR,DIFFUSION BARRIER,DIFFUSION PREFACTOR,SOLID_FRACTION,MONO_FRACTION,VOLCANO_FRACTION,ENTHALPY,Ix,Iy,Iz,SYMMETRY FACTOR
#O2H,33,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,-999.0,-999.0,-999.0,-1
#HS,33,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
#H2S,34,2700.0,0.0,0.0,0.0,0.0,0.1,0.5,-4.2,-999.0,-999.0,-999.0,-1
#CL,35,5172.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.91,-999.0,-999.0,-999.0,-1
#HCL,36,5172.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-999.0,-999.0,-999.0,-1
#C2N,38,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,-999.0,-999.0,-999.0,-1
#C3H2,38,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,137.83,-999.0,-999.0,-999.0,-1
#CH3CCH,40,3000.0,0.0,0.0,0.0,0.0,0.0,0.5,47.7,-999.0,-999.0,-999.0,-1
#SIC,40,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,170.88,-999.0,-999.0,-999.0,-1
#CH3CN,41,4680.0,0.0,0.0,0.0,0.0,0.0,0.5,19.0,-999.0,-999.0,-999.0,-1
#CH2CO,42,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.7,-999.0,-999.0,-999.0,-1
#CH3CNH,42,3740.0,0.0,0.0,0.0,0.0,0.1,0.5,195.0,-999.0,-999.0,-999.0,-1
#OCN,42,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,-999.0,-999.0,-999.0,-1
#HNCO,43,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.45,-999.0,-999.0,-999.0,-1
#SIO,44,3500.0,0.0,0.0,0.0,0.35,0.7,0.667,-24.3,-999.0,-999.0,-999.0,-1
#CS,44,3200.0,0.0,0.0,0.0,0.0,0.7,0.667,65.3,-999.0,-999.0,-999.0,-1
#CO2,44,2600.0,0.0,0.0,0.0,0.0,0.24,0.92,-93.96,-999.0,-999.0,-999.0,-1
#CH3CHO,44,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
